Language,Hash,Sentence,Loc,Translated Sentence
en_US,38bd7fd6a9f65ca7fc6153c0c6c13962,{name1} and {name2} disagreed with {content1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name1} y {name2} no están de acuerdo con {content1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,3a79d910bbe6173f97f64e3e64cdcbb3,{name1} and {name2} disagreed with {content1} and {content2}.,es_ES,{name1} y {name2} no están de acuerdo con {content1} y {content2}.
en_US,40f0d80d88cc248ce4a1e58b86438fb4,contents he disagreed with,es_ES,Contenídos en los que él no está de acuerdo.
en_US,4563b7a7ccedea53d97ebd6b024ab1f6,{name1} and {name count others} disagreed with a content {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name1} y {name count others} no están de acuerdo con un contenído {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,456879c662a59a3ae397f16beda9955c,{name1} and {name count others} disagreed with {content1} and {content2}.,es_ES,{name1} y {name count others} no están de acuerdo con {content1} y {content2}.
en_US,5379f1169db7b5753e74deaa5898a201,{number} others disagreed with this.,es_ES,{number} otros no están de acuerdo con esto.
en_US,54fda779b1c865ca32df19c4f1c191a8,{name1} disagreed with {content1} and {content2}.,es_ES,{name1} no está de acuerdo con {content1} y {content2}.
en_US,5d20f7c1c9d2616ee8b104225f0fcc0c,{name1} and {name2} disagreed with {content1}.,es_ES,{name1} y {name2} no están de acuerdo con {content1}.
en_US,5d9543df1a4cf9585ac1cee5b5807922,{name1} disagreed with this.,es_ES,{name1} no está de acuerdo con.
en_US,5f7e0594d1c53d87a2d910689ecaf42f,{name1} disagreed with {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name1} no está de acuerdo con {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,6bad0cb4435ce5b8af6f02da85e92d4e,contents you disagreed with,es_ES,Contenídos en los que usted no está de acuerdo.
en_US,7145e275efe78c1e37125194ff4183c9,1 other disagreed with this.,es_ES,Alguien más no está de acuerdo con esto.
en_US,73dbee9a25c8219182d94375763c734f,You and {name1} disagreed with this.,es_ES,Usted y {name1} no está de acuerdo con esto.
en_US,785e70d69f6e65becfe18a8a61dcf861,a content you disagreed with,es_ES,Un contenído en el que usted no está de acuerdo.
en_US,7a0b549a542a7bb8c8435f2da1aa9221,{name1} and {name count others} disagreed with {content count contents}.,es_ES,{name1} y {name count others} no están de acuerdo con {content count contents}.
en_US,800ed4b58c2898f8257d906fc1f1f59b,{name1} and {name count others} disagreed with a content.,es_ES,{name1} y {name count others} no están de acuerdo con un contenído.
en_US,8266d66d8cd117cd6391b50ba706ba7d,{name1} and {name2} disagreed with {content count contents}.,es_ES,{name1} y {name2} no están de acuerdo con {content count contents}.
en_US,841d89460c577f542b86fd9895bd6a79,{name1} and {name count others} disagreed with {content1}.,es_ES,{name1} y {name count others} no están de acuerdo con {content1}.
en_US,87fbaa81da3678f42ec207f40c698305,{name1} disagreed with {content1} and {content count other contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name1} no está de acuerdo con {content1} y {content count other contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,88734ebea45634be0cd199cfe069e349,{name1} and {name count others} disagreed with {content1} and {content count other contents}.,es_ES,{name1} y {name count others} no están de acuerdo con {content1} y {content count other contents}.
en_US,8e7ac42b9f643734a17e37a96178fdc3,{name1} disagreed with a content.,es_ES,{name1} no está de acuerdo con un contenído.
en_US,96a453314579fe95ddbb4adc81a73983,You and 1 other disagreed with this.,es_ES,Usted y alguien más no está de acuerdo con esto.
en_US,9a991c87ffa47e1dd3af3a6dc02ab164,{name1} disagreed with {content count contents}.,es_ES,{name1} no está de acuerdo con {content count contents}.
en_US,a6d6a6c5439a45c0f812e1c326c32a8f,contents she disagreed with,es_ES,Contenídos en los que ella no está de acuerdo.
en_US,b342a43952581acca425377875cca32d,1 other disagreed with this. Be the first of your friends.,es_ES,Alguien más no está de acuerdo con esto. Sé el primero de tus amigos.
en_US,b73bc11e9ea356ff62c4f2b8abce4c75,a content she disagreed with,es_ES,Un contenído en el que ella no está de acuerdo.
en_US,be54be6c1bc6492ceb0b38d014814f40,contents {name} disagreed with,es_ES,Contenídos en los que {name} no está de acuerdo.
en_US,c6d6a092407fd0861192ca5901aa948a,{name1} disagreed with a content {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name1} no está de acuerdo con un contenído {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,cc088f1868f7b1922e597200c103ee29,{name1} and {name2} disagreed with a content.,es_ES,{name1} y {name2} no están de acuerdo con un contenído.
en_US,cfd1bb115f827b004fbca141805ddd8c,{name1} disagreed with {content1}.,es_ES,{name1} no está de acuerdo con {content1}.
en_US,d5560d4e0a724cf579aa51f37e253084,{name1} disagreed with {content1} and {content count other contents}.,es_ES,{name1} no está de acuerdo con {content1} y {content count other contents}.
en_US,d68b1649519065fea070761f735b056d,{name1} disagreed with {content1} and {content2} {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name1} no está de acuerdo con {content1} y {content2} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,dbcad84a331250c989ee9dad232b016c,{name1} and {name2} disagreed with {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name1} y {name2} no están de acuerdo con {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,e146bf125bfd0979877a784f84b05f8b,{name1} and {name count} others disagreed with this.,es_ES,{name1} y {name count} otros no están de acuerdo con esto.
en_US,e2210ad9d376d1f0dcd82708c0969828,a content they disagreed with,es_ES,Un contenído en el que ellos no están de acuerdo.
en_US,e23397c8cce8b1a2ba0ff69ed96408b5,{name} disagreed with {number} contents {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name} no está de acuerdo con {number} contenídos {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,eab5c67bb89b3abbbde5f53196c3a735,a content he disagreed with,es_ES,Un contenído en el que él no está de acuerdo.
en_US,f1d7721ab23ef0cd3f35b8457c2fc03e,contents they disagreed with,es_ES,Contenídos en los que ellos no están de acuerdo.
en_US,f2aa71707426c984c2e4bef65cb06b1a,{name} disagreed with a content {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name} no está de acuerdo con un contenído {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,f5c1bfa03911b7686e2379cd1cce4c57,You and {number} others disagreed with this.,es_ES,Usted y {number} otros no están de acuerdo con esto.
en_US,fc144449f4d8eb7054a094420e299d92,{name1} and {name count others} disagreed with {content1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name1} y {name count others} no están de acuerdo con {content1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
