Language;Hash;Sentence;Context
en_US;289d9ca594f4228ea90bc96d062ed4e7;{name1} and {name count others} had {product count products} on {megusta.do}.;
en_US;295eb857c74c59ae271894cbcd1f11af;{name1} and {name count others} are wishing for {product1} and {product count other products} on {megusta.do}.;
en_US;296ecc25f35a418e24e5c8ba4b1b791e;{product count} products;In the phrase: "{name1} and {name count others} are thinking about {product count products} on {megusta.do}."
en_US;2a034c2741abe563ceb6aa8d7b9e7d8e;{name1} and {name2} suggested {product count products} on {megusta.do}.;
en_US;2a740fd2fb68fa5c0e0d7bdd54b03569;your product;
en_US;2b17821eaac2129fca397412c632d3ce;a content;In the phrase: "{name1} and {name2} asked you for {=a content}."
en_US;2b23a941fda5b53d45380ab38bd2637d;{name1} and {name count others} suggested {product1} on {megusta.do}.;
en_US;2b6b8ecf901e9c902fa1a8f23f85192e;{name1} and {name count others} thought about {product1} and {product2} on {megusta.do}.;
en_US;2c1029bc83ef7e0ac15e36a818bc8a2c;I want this for my Birthday ({birthday1})!;
en_US;2c2c0d298e4d91f2114bb2d9546a8b21;a product he loved;
en_US;2cad040a3b9ef27adcd1eaea21b4c6b0;{name count} others;In the phrase: "{name1} and {name count others} are suggesting {product1} and {product2} on {megusta.do}."
en_US;2cadf1d41a070ba930162b2564df70c8;{name1} had {product1} and {product count other products} on {megusta.do}.;
en_US;2ce3b2ae8b878cf5ac8597719f85cf74;{name} asked you for {=a content}:;preview of item that user gives to you in apprequest
en_US;2cf323f2c48027638e704bbead967472;{name count} others;In the phrase: "{name1} and {name count others} thought about {product1} and {product count other products} on {megusta.do}."
en_US;2d0964f63f17052b26a6765ff74f8833;{name1} is suggesting {product1} on {megusta.do}.;
en_US;2d656e4d661473418773208c8972ad57;{name1} loved a product on {megusta.do}.;
en_US;2d8ca505f1b2a78287206d8b80962a9d;a product;In the phrase: "{name1} and {name2} sent you {=a product}."
en_US;2d938d0049543b374cbae00c608d4efc;{name} wanted {number} products for birthday ({birthday}).;
en_US;2e32105ba22dca4cac19cee203edc00d;{name1} wanted a product for birthday ({birthday}) on {megusta.do}.;
en_US;2e87b63e1562e4744498038f0c14f636;{name} asked you for {=[count] contents and other requests}.;
en_US;2f02771d5dc24533143316cbac5fb0e5;{name1} and {name count others} wished for {product count products} on {megusta.do}.;
en_US;2f482604ad6d939cf202d3579db193d7;{name1} and {name count others} sent you {=[count] products}.;
en_US;2fbf7a3398ebd9734f9fc42261fbf075;You and {name count} others suggested this.;
en_US;303b3962ef60a2d7b42863d1f7e06a3d;Add your contents to your timeline.;
en_US;305089e39c4d631b7b1e9617a90927bc;{count} products;In the phrase: "{=[count] products} asked for by {name}"
en_US;30c6c70428b3e6b104f0a7ef7c6305bf;{name1} suggested {product1} and {product2} on {megusta.do}.;
en_US;30f73d3997c010c20f3f5fe904605e90;{product count} other products;In the phrase: "{name1} thought about {product1} and {product count other products} on {megusta.do}."
en_US;310029e3e90279fc37967bd48cbe4f3f;a content;In the phrase: "{name1} and {name count others} asked you for {=a content}."
en_US;314c6df380f4580516ffaf3ba64efb34;{name1} and {name count others} wished for {product1} on {megusta.do}.;
en_US;3193adcbd9d8ff457ed575f18d6131b1;{name1} and {name2} are loving {product1} on {megusta.do}.;
en_US;32f749d3e164876e470f6b2c694eba0e;{name} sent you {=a content}:;preview of item that user gives to you in apprequest
en_US;3347925f450647ddaf4c8e9639882641;You and {number} others had this.;
en_US;336e087e291e915aea87645fcd0deea9;{product count} products;In the phrase: "{name1} loved {product count products} on {megusta.do}."
en_US;3464bb4a5e521b2275a7f43a5724b67c;{product count} other products;In the phrase: "{name1} and {name2} are thinking about {product1} and {product count other products} on {megusta.do}."
en_US;3475234bf6ed08954aab8f3073584d80;{name1} is suggesting a product on {megusta.do}.;
en_US;34792aabc6d396b3feaacfebc3d2d78d;{name1} is loving {product1} and {product2} on {megusta.do}.;
en_US;348199548eb9134eb0549de3363c68ad;{product count} products;In the phrase: "{name1} and {name2} thought about {product count products} on {megusta.do}."
en_US;34b8804ac3f3d799472ff6c0f30d4ab0;Had {product1}.;
en_US;358f34e31f11332d8e3ccfbe5583becb;{product count} products;In the phrase: "{name1} and {name2} are wanting {product count products} on {megusta.do}."
en_US;36c5b872fc18cea96fb3e94f26dcf8e0;{name1} and {name2} had this.;
en_US;36ebaf3230f26fd8fe623da0584bdec3;{name1} and {name2} sent you {=a product and other requests}.;
en_US;37162e25b885deeb13db4cc3732a2f81;{name1} and {name2} had {product1} and {product2} on {megusta.do}.;
en_US;3743fd59aa799bdc8f5b926e13b2ed51;{count} products;In the phrase: "{name1} and {name2} asked you for {=[count] products}."
en_US;3769c67bf29c01a66d2f6e97b2c91fc4;You and {name count} others wished for this.;
en_US;3773490faad53107cc91708e12df97be;{name1} suggested {product1}.;
en_US;37b1f7d283700dfff5e2859fdbda7892;{count} products and other requests;In the phrase: "{name1} and {name2} sent you {=[count] products and other requests}."
en_US;38074bb229a5e64efbdae8ae1207851b;{name1} and {name count others} are thinking about {product1} and {product count other products} on {megusta.do}.;
en_US;391abbbfd538cb36998bdcf2dcc24bbb;Be the first of your friends who is suggesting this.;
en_US;39cf73c8b78fada83dfede12ee9fb9cc;{name count} others;In the phrase: "{name1} and {name count others} wanted {product1} on {megusta.do}."
en_US;39e99b17de8bb7450360975d9228198a;{name1} is wishing for {product1} on {megusta.do}.;
en_US;39f9a3210aedf5172eff279b8e3079ff;{name1} and {name count others} are wishing for {product count products} on {megusta.do}.;
en_US;3a23075b69f5244fc4b58a443c79b1dd;products he wanted;
en_US;3a292004308653c3078f762ba9515338;{name count} others;In the phrase: "{name1} and {name count others} loved {product count products} on {megusta.do}."
en_US;3a2fedcc60d9f7f902c39d1e5bd8f868;{name count} others;In the phrase: "{name1} and {name count others} sent you {=a product and other requests}."
en_US;3a4962bb28a1d9d5c20a691ceb72fc67;{name} is wishing for a product on {application}.;
en_US;3ac3b9b4d2e5251cd5a7d766ed025405;{name1} and {name count others} are loving {product1} and {product count other products} on {megusta.do}.;
en_US;3c307d5946084d0452ddc4becd490efb;{name1} and {name count others} asked you for {=a content}.;
en_US;3c8f25806a54d143cc194536992c9acc;{name count} others;In the phrase: "{name1} and {name count others} asked you for {=a product}."
en_US;3ccb9573f789431db8c030355605183f;{product count} other products;In the phrase: "{name1} and {name count others} are wishing for {product1} and {product count other products} on {megusta.do}."
en_US;3f03bcdab88113de623a7c9ec2c9398c;{name count} others;In the phrase: "{name1} and {name count others} wished for {product1} on {megusta.do}."
en_US;3f18ef86b4b72cd678e0c9f92da1a759;{count} products;In the phrase: "{name1} and {name count others} asked you for {=[count] products}."
en_US;408435a041fe1ca9bfa4d17ea29c08d2;{product count} products;In the phrase: "{name1} and {name count others} loved {product count products} on {megusta.do}."
en_US;409e95ce37f81cffd61cf3cb81a1ad0f;You and 1 other loved this.;
en_US;4208d9457db0c60438b2852e743cc5d4;You and {number} others wanted this.;
en_US;42322a6d38e64f8dc7a10f573a7a67e9;{name count} others;In the phrase: "{name1} and {name count others} had {product1} on {megusta.do}."
en_US;429277bfade16cd8d28b45e5cb408653;products she had;
en_US;4313fdb27e8690336bfa6f62f22674a0;You wished for this.;
en_US;439f2f9537844e29355eb09fb3b1d32a;{name1} and {name count others} wanted a product for birthday ({birthday}) on {megusta.do}.;
en_US;43b56c7496a2e08f01d45b20512fc736;{name1} wanted {product1} and {product2} for birthday ({birthday}) on {megusta.do}.;
en_US;4445947a9379b51d5ca2fa93ac3cd31d;You and {name1} wanted this.;
en_US;44c6661c15d0d87607c56bbab1526c55;{name1} and {name count others} thought about {product count products} on {megusta.do}.;
en_US;4568d482050b9f7b4f6c2f883905996b;Is suggesting {product1}.;
en_US;459c31bc825acd09881e6bf3b71d37dc;{name1} and {name count others} are wishing for a product on {megusta.do}.;
en_US;45b21e364e130aad052e63c6470243ba;{name1} loved {product1} and {product count other products} on {megusta.do}.;
en_US;45f5a9d4cbe9d8c80b15058a73350975;Be the first of your friends who is having this.;
en_US;46007e274c9b36a47367816ee69dc722;a product he had;
en_US;46e43717ab37669a0dcb23a23c2c9944;1 product;In the phrase: "{=1 product} sent by {name}"
en_US;47104b6c7f599098af611e821424b311;{name1} and {name2} wanted {product count products} on {megusta.do}.;
en_US;47b3f2d5df84ffa5c728329978622445;a product they thought about;
en_US;47cb54a9a821baac23b38e90984899e9;a product {name} suggested;
en_US;48dc78cb2f84bf3a0616143d059c8799;{name1} thought about {product count products} on {megusta.do}.;
en_US;498e55eca51318408b18601d3a561c81;{name1} and {name2} wanted a product for birthday ({birthday}) on {megusta.do}.;
en_US;49ca4a89acb957562b483e1d477e99f0;{name1} and {name count others} asked you for {=a product and other requests}.;
en_US;49d4251a8f623fbdaad6900408009c38;1 other suggested this. Be the first of your friends.;
en_US;49d6a9a7d6b1d40a46deabf10a32d6c8;a product {name} wanted;
en_US;4a55d546c4bc49e794ca149f0d68b222;{name1} wanted {product1} for birthday ({birthday}) on {megusta.do}.;
en_US;4a8d6caa8fe5f8af04bdc78492dcd2b8;{name1} and {name2} thought about {product1} and {product2} on {megusta.do}.;
en_US;4af023b3927af0cad0cde69d9b98dc1b;You and {name1} suggested this.;
en_US;4b20c585e030fb52612b378cab05ada9;{name1} and {name2} are loving {product1} and {product count other products} on {megusta.do}.;
en_US;4b355ef91205d806fb75b1f8114ab86e;products he had;
en_US;4b3960a58e22298aa62415d133ed4b01;{name} loved {number} products on {application}.;
en_US;4b3e18abc6b87a77763159355bcf7e5b;{number} others loved this.;
en_US;4b847e8e1670193f2ec2738875838cf4;{name1} wished for this.;
en_US;4bb06206285034b7166492bc73da3505;a product she loved;
en_US;4d119c15f7559d17afb0e730d56103eb;{name} is loving {number} products.;
en_US;4d6a87ad507d28772ddb35597cbb32c2;{number} others loved this. Be the first of your friends.;
en_US;4d7bc74582afaee528390aa41316da17;{name count} others;In the phrase: "{name1} and {name count others} wished for a product on {megusta.do}."
en_US;4d7d8da0429940a1a9c3d1c8797d914f;{product count} other products;In the phrase: "{name1} is suggesting {product1} and {product count other products} on {megusta.do}."
en_US;4daa0aecec02dc15cc5c8e19161bda5e;{name1} and {name2} asked you for {=[count] products}.;
en_US;4e8416a0dbe325f6c6384731cd472910;{name count} others;In the phrase: "{name1} and {name count others} loved {product1} and {product count other products} on {megusta.do}."
en_US;4eba72f96acdff76733c8d6f58756af7;{name} is wanting a product on {application}.;
en_US;500c6ebeb0558c742dd200737d776a1b;{name} sent you {=a content}.;
en_US;502d3268d73080e7aa5c9018e47ce3ec;{name} wished for a product on {application}.;
en_US;509b42969c8825d39f2ab729b1e9f278;a product they wished for;
en_US;51ebc017737c3e6aa3b451817bd6f7b7;{name1} and {name2} sent you {=[count] products and other requests}.;
en_US;520ec7c48c5b1411d8cdbe4950acbc56;{name1} thought about {product1}.;
en_US;5268199797096e3ccc1f3c9859037e7a;{name} wanted {number} products.;
en_US;5270a11dceef0fcc7bfd830cfe440ed5;a product and other requests;In the phrase: "{name} sent you {=a product and other requests}."
en_US;52a1b15b35d9d3b3ac82154a48515d2c;{name1} wished for {product1} and {product count other products} on {megusta.do}.;
en_US;52c2f7ac503d96cc7db72a8b385258c8;products he thought about;
en_US;52d638eee5598d02cf32449e7f016546;{name1} and {name2} asked you for {=[count] products and other requests}.;
en_US;52e1de93db963853b748419cdccfa820;a product she thought about;
en_US;52f064a09c80e9f26dc47f45e9644de2;{product count} other products;In the phrase: "{name1} and {name count others} wished for {product1} and {product count other products} on {megusta.do}."
en_US;538a50ec0a65de00448b937ed2d4634a;{name1} and {name2} thought about {product count products} on {megusta.do}.;
en_US;54d24e1253d6995649e1df625db07a9c;{count} products and other requests;In the phrase: "{name} sent you {=[count] products and other requests}."
en_US;5544ec72639c4c787d6aa69ae68c86af;products they had;
en_US;55581e1b37392cedf0b7b4d80f1bd5d0;You and {name1} loved this.;
en_US;556bbd1ba07321d238840fa538c44cd3;products she suggested;
en_US;56ad94d8121f4d240bdfe2e70e2fff86;{name1} and {name2} are loving a product on {megusta.do}.;
en_US;56cd97eb77e5e36315141b5fa33889e2;{name1} and {name2} suggested this.;
en_US;570afc80616eb72604b239022205b3a4;{name1} had a product on {megusta.do}.;
en_US;579ca8d7d11ffc29b6c6dd2d898d1715;{name} is suggesting a product on {application}.;
en_US;579f1681b6c440bb22119f45315006cb;You and {number} others suggested this.;
en_US;581ea2288914c971ab815d6c3e3050c8;{name1} and {name count others} are wanting {product1} and {product2} on {megusta.do}.;
en_US;5965854fa620f7e32a5f15c851e3b9c6;{name count} others;In the phrase: "{name1} and {name count others} are thinking about {product1} on {megusta.do}."
en_US;597dc525bd0a3d1f1760914b105a04b8;{name1} and {name2} sent you {=[count] products}.;
en_US;59909bde5c5dec0eee316a15bf586996;{name} loved a product.;
en_US;59d56cce6096e87ec1394cefcb352e81;{name1} and {name2} had {product1} on {megusta.do}.;
en_US;5b103248d7c06874cf1fa3df4d20192f;{name count} others;In the phrase: "{name1} and {name count others} wanted {product count products} on {megusta.do}."
en_US;5b13e66c93e2599e4f7d10f752f85ba9;a content;In the phrase: "{name1} and {name count others} sent you {=a content}."
en_US;5b352072b10434de138a246774923c1d;{name1} wanted a product on {megusta.do}.;
en_US;5b6f6885ccd866c17672659c68948c05;{name1} and {name count others} are wishing for {product1} on {megusta.do}.;
en_US;5b8c571dd008b609eee0f9b528aa8ecb;Thought about {product1}.;
en_US;5bdb566ea4b81014ba6299fd034c7686;{name} is suggesting a product.;
en_US;5c7b572069e9a3f59ee430956dfa6f36;{name1} and {name count others} had {product1} and {product count other products} on {megusta.do}.;
en_US;5ce78593d38388f56088e052612f2954;{name} sent you {=[count] contents and other requests}.;
en_US;5d269c6f963944873ba3275e476844f6;{name1} and {name count} others wished for this.;
en_US;5d27c298bbf05747a079e4a4fdc06f7a;a product he suggested;
en_US;5de60c8ab467fa54bd73fc991d3e1a60;{name} is wanting {number} products.;
en_US;5dee9ca20841588f430645af17ea2068;{name} asked you for {=a content}.;
en_US;5dfdb4719bc13dd1bc0d390b3479d019;{name1} is thinking about {product1} and {product2} on {megusta.do}.;
en_US;5e7356fbd32e8c12f8358384a9bfd882;{=1 content} asked for by {name};item (e.g gift, ticket) that user gives to you in apps or games
en_US;5ec3d669aa31cfd09da8a43e987943f5;{name1} and {name count others} are loving {product1} on {megusta.do}.;
en_US;5f3fc39ad4f2ea7fa54f32e063a35aa3;{name count} others;In the phrase: "{name1} and {name count others} are thinking about a product on {megusta.do}."
en_US;5f6ceb7d86d6d7fd1f75c8f9e07c0d8f;Is loving {product1} on {megusta.do}.;
en_US;60aafa20ab9381a286fe82a9829e9393;{name1} and {name count} others suggested this.;
en_US;60d412126f2027c08a8852acd2d26e01;{name1} and {name2} are wanting {product1} and {product2} on {megusta.do}.;
en_US;611b42df3284c7853e1057828a6a2e9e;{name1} and {name2} had a product on {megusta.do}.;
en_US;615f173c6fce073369f225e443649f67;1 other loved this. Be the first of your friends.;
en_US;61b0d33edffd0172060a8ba2741ce398;{name1} and {name2} are thinking about {product count products} on {megusta.do}.;
en_US;620676a8aa3aec87f47bee94fca1e863;{name count} others;In the phrase: "{name1} and {name count others} are loving {product1} on {megusta.do}."
en_US;630300c4fe73322a4970d2d77b10deb1;Is having {product1}.;
en_US;630a5e21bc20629e420fcf867b43a282;{name} suggested {number} products on {application}.;
